td_id,spotsID,scenicSpots,time,day,people,cost
9236341,12711,云南,出发时间/2018-05-03,出行天数/5 天,人物/ 和朋友,人均费用/2600RMB
12023990,12711,云南,出发时间/2018-06-14,出行天数/10 天,人物/家庭出游,人均费用/5800RMB
18143671,12711,云南,出发时间/2019-10-19,出行天数/1 天,人物/情侣/夫妻,人均费用/200RMB
18773806,12711,云南,出发时间/2020-12-12,出行天数/1 天,人物/家庭出游,人均费用/300RMB
11750722,12711,云南,出发时间/2018-11-10,出行天数/7 天,人物/家庭出游,人均费用/4000RMB
17647225,12711,云南,出发时间/2019-10-17,出行天数/9 天,人物/情侣/夫妻,人均费用/3500RMB
8808294,12711,云南,出发时间/2018-03-15,出行天数/9 天,人物/情侣/夫妻,人均费用/5500RMB
17881768,12711,云南,出发时间/2019-10-01,出行天数/7 天,人物/ 和朋友,人均费用/7000RMB
6653516,12711,云南,出发时间/2016-11-11,出行天数/10 天,人物/ 和朋友,人均费用/10000RMB
6159698,12711,云南,null,null,null,null
3345951,12711,云南,null,null,null,null
18719575,12711,云南,出发时间/2019-11-24,出行天数/12 天,人物/情侣/夫妻,null
9418145,12711,云南,出发时间/2016-06-19,出行天数/30 天,人物/ 和朋友,null
18539068,12711,云南,出发时间/2019-02-09,出行天数/12 天,人物/ 和朋友,人均费用/9000RMB
18581266,12711,云南,出发时间/2020-01-15,出行天数/8 天,人物/情侣/夫妻,人均费用/3000RMB
5543788,12711,云南,出发时间/2016-06-12,出行天数/11 天,人物/一个人,人均费用/7000RMB
18935860,12711,云南,null,null,null,null
18634495,12711,云南,出发时间/2020-01-17,出行天数/6 天,人物/ 和朋友,人均费用/2500RMB
5486830,12711,云南,出发时间/2016-03-04,出行天数/18 天,人物/情侣/夫妻,null
6363419,12711,云南,出发时间/2016-09-19,出行天数/13 天,人物/带孩子,null
18654553,12711,云南,null,null,人物/情侣/夫妻,null
9881082,12711,云南,出发时间/2018-07-05,出行天数/8 天,人物/其它,人均费用/5000RMB
17849926,12711,云南,出发时间/2019-02-08,出行天数/14 天,人物/情侣/夫妻,人均费用/5100RMB
10100818,12711,云南,出发时间/2018-07-24,出行天数/14 天,人物/一个人,人均费用/5500RMB
12147002,12711,云南,出发时间/2019-03-07,出行天数/5 天,人物/ 和朋友,人均费用/3500RMB
11897314,12711,云南,出发时间/2018-12-30,出行天数/8 天,人物/家庭出游,人均费用/5500RMB
11265046,12711,云南,出发时间/2015-04-20,出行天数/27 天,人物/一个人,人均费用/11000RMB
18758302,12711,云南,出发时间/2019-10-12,出行天数/7 天,人物/一个人,人均费用/1186RMB
18720220,12711,云南,出发时间/2019-03-23,出行天数/8 天,人物/家庭出游,人均费用/4000RMB
